Filename,Text,Source,Label,
1_00001,Do jews wear those hats to cover their horns?,https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00002,Why do hindus look smelly.,https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00003,"Christian freaks are terrifying, they scare me more than any other threat on earth.",https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00004,Most aethists are effing liberals and they are trying to destroy the west just look at europe right now plus the aethist is a total.,https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00005,"Arguing with muslims is like playing chess with a pigeon; no matter how good you are at chess the pigeon is just going to knock over the piesces, crap on the board and strut around like it's victorious.",https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00006,"They are literally the most privileged group in the world, look at the average jewish income or business ownership and compare it to African Americans. Damn even to asians, middle easterns and whites.",https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00007,"Christians are subhumans with zero intellect, we need to ship them to Iran.",https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00008,A hindu believes a cow to be their mother if so do they drink their piss.,https://www.youtube.com/watch?v=jlNBRcNwy3E,1,
1_00009,"I dont want to forge friendships with homos no thanks, L O L.",https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00010,Christians are stupid and they think they are better than everyone else.,https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00011,Are trans people considered real people or are they like imaginary friends you bring out everytime you want to make a political point.,https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00012,So basically the Evangelicals are the taliban of north america.,https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00013,The jewish people are righteous people not very good at sports.,https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00014,I believe in lesbians when they stop using strap ons and dildos.,https://www.youtube.com/watch?v=8--kO4gqmEQ,1,
1_00015,Your staff is speaking spanish to the customers when they should be speaking english.,https://www.youtube.com/watch?v=bCTXvZ8Ng-s,1,
1_00016,Vegetable people are so weird why.,https://www.youtube.com/watch?v=dxMbga0ILY0,1,
1_00017,Vegan is an ancient inuit word for shitty hunter.,https://www.youtube.com/watch?v=dxMbga0ILY0,1,
1_00018,There is a reason why asian men are not in western porn they have small penises and cant compete with western men.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00019,A country that is all white is all right.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00020,I hope this doesnt sound racist but i love when mexicans are selling fruit by my house.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00021,dirty whore dirty you're talking about living together talking about having twenty thousand wives that's fast enough disgusting,https://www.youtube.com/watch?v=e1sTGsMFMBw,1,
1_00022,Laugh my ass off all white people triggered and mad because they age like bananas.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00023,"Iran, china, and russia, are we going to keep pretending that their citizens are even human, they aren't they need to be destroyed and their bloodlines and cultures erased.",https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00024,Be great if they went back to africa and left white people alone without all this whining.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00025,"They are the most ungrateful race in existence, with almost zero contribution to the world, with extreme jealousy and hate towards other races. Everywhere they go they bring third world shit with them. So back to your african wakanda",https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00026,A world without blacks cleaner more tech less violent crimes better schools more industry better cleaner safer neighborhoods and schools less whining and more advanced civilisation.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00027,Blacks are animals.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00028,Mexicans work very hard dot dot dot at drug dealing.,https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00029,"Whites are weird and crazy, stay away from them.",https://www.youtube.com/watch?v=f1dMxRGVGz8,1,
1_00030,You should not be wearing that in the united states of america,https://www.youtube.com/watch?v=s0LJ27LaK30,1,
1_00031,And i think you are an ugly mean evil little pig who might get deported,https://www.youtube.com/watch?v=0ncMaeofgkY,1,
1_00032,I don't like him on the fact that he is black absolutely not.,https://www.youtube.com/watch?v=Q8RHxv0bxzo,1,
1_00033,I am sick and tired of people thinking specially I am mentioning black people thinking we owe them something that the world owes them something,https://www.youtube.com/watch?v=Q8RHxv0bxzo,1,
1_00034,Isabella stop speaking spanish you're american that is not your language.,https://www.youtube.com/watch?v=bCTXvZ8Ng-s,1,
1_00035,fucking sandbag bitches isis bitches love enough go home and make a bomb on the internet fucking bitches,https://www.youtube.com/watch?v=e1sTGsMFMBw,1,
1_00036,If you kick every latino out of this country then who is going to be cleanning your toilet donald trump.,https://www.youtube.com/watch?v=_zTN3Eolt7Y,1,
1_00037,fucking isis bitches carry on laughing carry on laughing with you fucking basket and your fucking clothes,https://www.youtube.com/watch?v=e1sTGsMFMBw,1,
1_00038,They are bringing drugs they are bringing crime they are rapists.,https://www.youtube.com/watch?v=_zTN3Eolt7Y,1,
1_00039,isis bitch you're lucky they don't kick you in the uterus then you'll never have a kid again stupid bitch i'll take this long leg and donkey kick you,https://www.youtube.com/watch?v=e1sTGsMFMBw,1,
1_00040,The jews are responsible for all the wars in the world.,https://www.youtube.com/watch?v=_zTN3Eolt7Y,1,
1_00041,"You are dressed provocatively all the time with your fake boobs you feel you have to show off and tight outfits and your tight pants, you can see your pussy from behind.",https://www.youtube.com/watch?v=_zTN3Eolt7Y,1,
1_00042,Got some rough girls those rotgers man they got tattoos and some hot girl hoes that is some nappy headed hoes. I'll take that.,https://www.youtube.com/watch?v=_zTN3Eolt7Y,1,
1_00043,we hate islam we hate islam we hate sharia,https://www.youtube.com/watch?v=jrpaFAloL7Q,1,
1_00044,"Would you round gigi's eyes a little bit, because of her high eyebrows it makes her look chinese really quick.",https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00045,"keep your eyes always round and big, so they pop. Not the chinese looking you know because that's not good for her face.",https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00046,"he is six two, two-twenty black, he could make a good orangutan or monkey or whatever.",https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00047,You know how you can have a sex change and a race change. But i literally am black.,https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00048,You gotta learn english you know we are in america they speak english here.,https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00049,Heather was playing a role of being very aggressive and ghetto like.,https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00050,You were not brought up in ghetto girl okay hola.,https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
1_00051,"You were in my face acting all ghetto, okay. This isn't the hood this is the hamptons.",https://www.youtube.com/watch?v=tdv3bBUOSB8,1,
